retention_ratio_requested,retention_ratio_actual_mean,retention_ratio_actual_std,precision_mean,precision_std,completeness_mean,completeness_std,commission_mean,commission_std,f1_mean,f1_std
0.64,0.640171858216971,0.0,0.8125572444136988,0.010811071370748588,0.41448574686431017,0.010459667000057099,0.18744275558630125,0.010811071370748587,0.5488916313154956,0.010595486143859611
0.65,0.6503759398496242,1.111334915764742e-16,0.8125635271646208,0.010681119692365288,0.42119270239452683,0.010345641684134512,0.18743647283537923,0.010681119692365288,0.5547457217693975,0.010421032973748114
0.66,0.6600429645542426,1.111334915764742e-16,0.812506516982259,0.010528661340346848,0.4273979475484607,0.010331869642687664,0.18749348301774102,0.010528661340346848,0.5600893438435973,0.010322887657776864
0.67,0.6702470461868958,0.0,0.8125391393702743,0.010321487244112115,0.43394526795895105,0.010267277279734907,0.18746086062972575,0.010321487244112115,0.5656924571293015,0.010181258328148092
0.68,0.6804511278195486,2.222669831529484e-16,0.8126415383268564,0.010063947862569573,0.44056556442417333,0.01026813524953722,0.18735846167314377,0.010063947862569573,0.5713133491679053,0.010031048133138924
0.69,0.6901181525241675,0.0,0.812689788009488,0.009797983013541539,0.44684606613454964,0.010206026963236954,0.18731021199051207,0.009797983013541539,0.576582681593078,0.009893665293315496
0.7,0.7003222341568207,1.111334915764742e-16,0.8127259941396101,0.009714572979883129,0.45349828962371724,0.010136087247123808,0.18727400586038986,0.009714572979883129,0.5821041467430286,0.009794497099197177
0.71,0.7105263157894737,0.0,0.8127570120937742,0.00938671192121163,0.460175598631699,0.010134676418521487,0.1872429879062259,0.00938671192121163,0.5875864873144344,0.009695338134830317
0.72,0.7201933404940923,0.0,0.8127039061275807,0.009151198455415321,0.4663511972633979,0.009972004887660332,0.18729609387241936,0.009151198455415321,0.5925859466919894,0.009488689320581058
0.73,0.7303974221267454,0.0,0.8127325317606264,0.008951347596260081,0.47290763968072974,0.009927125840681726,0.18726746823937362,0.008951347596260081,0.5978622895970828,0.00938354158681636
0.74,0.7400644468313639,2.222669831529484e-16,0.8126909180599279,0.008565464665073956,0.4791562143671607,0.00975791400716064,0.1873090819400722,0.008565464665073956,0.6028232043431417,0.009140146765573249
0.75,0.7502685284640174,2.222669831529484e-16,0.8125961965252864,0.008363332329038912,0.4857993158494869,0.009775806879647658,0.18740380347471358,0.008363332329038912,0.608029053921159,0.009088850396776536
