instance_id,oracle_max_iou,best_gt_id,precision_at_best_gt,recall_at_best_gt,num_points
79,0.8630799501344267,232,0.8792351594097936,0.9791547151807065,196067
80,0.883994204127792,779,0.884150436534587,0.9998001478905609,113164
81,0.0,1,0.0,0.0,100447
82,0.8462116656644618,181,0.8494039535234646,0.99557835160948,33135
83,0.620589595861895,403,0.6591772010541832,0.9138027122422441,22387
84,0.8566000924166967,206,0.9004263586809865,0.9462341197822142,18529
85,0.8825345510385517,548,0.890726964239102,0.9896858629252996,61296
86,0.0,1,0.0,0.0,28778
87,0.8339973439575034,353,0.8362183754993342,0.9968253968253968,2253
88,0.6056955093099672,402,0.6060575869283651,0.9990146165215963,10037
89,0.8774753518159603,556,0.8835808230801867,0.9921867555979038,11785
90,0.907608695652174,576,0.9076801890508074,0.9999132245748004,12695
91,0.7686920194138969,491,0.7686920194138969,1.0,16277
92,0.9741506075381162,295,0.9823424970245644,0.9915122393115264,102506
93,0.7770825512034372,339,0.794481405663596,0.9725905816017542,23448
94,0.7680242119373696,706,0.7690870594096401,0.9982038616973506,72261
95,0.7761329305135952,4,0.777150347887466,0.9983160621761658,9917
96,0.0,1,0.0,0.0,97399
97,0.7533508359817604,785,0.7576431350750417,0.9925359548516294,7196
98,0.0,1,0.0,0.0,29529
99,0.9193682460515378,864,0.9197652289337748,0.99953075305445,62529
100,0.0,1,0.0,0.0,13270
101,0.0,1,0.0,0.0,9421
102,0.0,1,0.0,0.0,23930
103,0.883547506491777,389,0.8854340428371255,0.9975943467147798,14987
104,0.0,1,0.0,0.0,2162
105,0.0,1,0.0,0.0,24556
106,0.6644674835061263,682,0.831858407079646,0.7675557974959173,1695
107,0.8374793241008011,477,0.8409089058772765,0.9951537223844071,122829
108,0.8560146522608506,635,0.8730613014344227,0.9776993052623498,58351
109,0.011323641928079572,331,0.03213897937024973,0.017183327528155115,4605
110,0.0,1,0.0,0.0,13183
111,0.0,1,0.0,0.0,46284
112,0.0,1,0.0,0.0,32923
113,0.0,1,0.0,0.0,6404
114,0.0,1,0.0,0.0,10229
115,0.8477138533661692,842,0.8488094000207965,0.9984797651499266,134638
116,0.0,1,0.0,0.0,43646
117,0.8150330594516834,198,0.8175322242726125,0.9962632940500143,72073
118,0.525447538090264,240,0.5259590423997692,0.9981525829627096,55472
119,0.0,1,0.0,0.0,117738
120,0.0,1,0.0,0.0,35758
121,0.8832082061755184,330,0.886293505979343,0.9960740178501322,85879
122,0.0,1,0.0,0.0,59955
123,0.0,1,0.0,0.0,7459
124,0.0,1,0.0,0.0,11778
125,0.0,1,0.0,0.0,9464
126,0.0,1,0.0,0.0,32072
127,0.0,1,0.0,0.0,44572
128,0.5689359267734554,286,0.5744932255015229,0.9832816502629095,38084
129,0.6844533479026286,69,0.7519173057685895,0.8841057006194621,14995
130,0.0,1,0.0,0.0,17778
131,0.0,1,0.0,0.0,31302
132,0.0,1,0.0,0.0,81986
133,0.76037320791929,179,0.7627686126499057,0.9958868996761182,65708
134,0.0,1,0.0,0.0,4494
135,0.0,1,0.0,0.0,84325
136,0.0,1,0.0,0.0,4467
137,0.5283858047690015,85,0.5290633962088181,0.9975819924382309,42889
138,0.8717006725823772,216,0.8793044469783352,0.9901771956856703,17540
139,0.866747979874981,498,0.8981042654028436,0.9612783226242814,12660
140,0.7504518374723878,846,0.764473235594954,0.9761427949499347,14665
141,0.9002074339855357,618,0.9019266415772622,0.9978870175874712,17803
142,0.7903434544549527,451,0.7950130182255157,0.9926231557889472,9986
143,0.0,1,0.0,0.0,1799
144,0.005488949877220858,447,0.06070287539936102,0.005998421468034728,626
145,0.0,1,0.0,0.0,3644
146,0.8337669545911819,391,0.8375585872841635,0.9945997392977592,57393
147,0.891728291054323,839,0.8923408374184282,0.9992307961260096,64054
148,0.8965427315401236,532,0.8978472559041898,0.9983820112844342,26803
149,0.0,1,0.0,0.0,183322
150,0.0,1,0.0,0.0,23542
151,0.0,1,0.0,0.0,29373
152,0.5398354217318122,870,0.8505967290408133,0.5963842975206611,6787
153,0.0,1,0.0,0.0,271
154,0.0,1,0.0,0.0,4510
155,0.0,1,0.0,0.0,92201
156,0.9197459231661882,599,0.9333126743105051,0.9844413937373341,16135
157,0.014082728133880644,599,0.29303547963206306,0.014578021834346604,761
158,0.8937019349341943,802,0.899246491900916,0.9931481250778622,44326
159,0.9119874153468779,693,0.9130341937378214,0.9987444522307872,37463
160,0.8411373124224303,307,0.8475250676428457,0.9911191470126831,43981
161,0.7171482984184814,55,0.7200099758915953,0.9944884602135722,12029
162,0.002027437994188011,593,0.030181086519114688,0.002168726957276079,994
163,0.00025591155696591257,635,0.002299555419285605,0.00028787471692319505,6523
164,0.0,1,0.0,0.0,1803
165,0.0,1,0.0,0.0,12536
166,0.29541215964192463,140,0.8604954367666232,0.3102718796521194,4602
167,0.8248058567758473,721,0.8258981676267044,0.9983990706109033,170653
168,0.013628633153048249,20,0.5578551269990593,0.01377745423004244,3189
169,0.9460176153044796,623,0.9499762244412744,0.9956144722416027,10515
170,0.0,1,0.0,0.0,1685
171,0.8853364002300173,19,0.886049723756906,0.9990914990266061,8688
172,0.0064680353864129524,428,0.05355908776779544,0.007302709069493522,2894
173,0.0,1,0.0,0.0,36590
174,0.0,1,0.0,0.0,23679
175,0.35661424606845515,157,0.4503504672897196,0.6314496314496314,1712
176,0.0,1,0.0,0.0,27761
177,0.0,1,0.0,0.0,19810
178,0.014287971073002054,635,0.14333509420672655,0.01562200130503205,5679
179,0.0,1,0.0,0.0,83208
180,0.0,1,0.0,0.0,72408
181,0.0,1,0.0,0.0,9083
182,0.7399726809884515,231,0.8398872445384074,0.8615006505710568,7095
183,0.8382072321343383,526,0.8705378155423985,0.9575726197612949,40367
184,0.890930873367677,418,0.8919139341313056,0.9987644040935829,41689
185,0.8722162975973904,654,0.8734765674079659,0.9983485316292094,31836
186,0.0,1,0.0,0.0,21305
187,0.0,1,0.0,0.0,2414
188,0.745294293397072,343,0.8129379175492912,0.8995672556797693,55233
189,0.7514740327921816,47,0.7644889164810283,0.9778473252134107,109532
190,0.8278184348763077,876,0.8298116519273611,0.997106778790255,44439
191,0.0,1,0.0,0.0,61739
192,0.0,1,0.0,0.0,2580
193,0.002656230353325789,435,0.277504105090312,0.0026747277791846036,609
194,0.9374007868037821,873,0.948993851313583,0.9871356930009448,14312
195,0.0,1,0.0,0.0,237
196,0.0,1,0.0,0.0,17312
197,0.5883851248089659,50,0.5933727202671462,0.9859154929577465,3893
198,0.3926553672316384,604,0.7580095432856169,0.44893015744852643,1467
199,0.017477488744372185,14,0.29592376919004765,0.01823579304495335,1889
200,0.0,1,0.0,0.0,2177
201,0.0,1,0.0,0.0,31994
202,0.6736656438011936,611,0.6741380144107548,0.9989609458975278,41358
203,0.0,1,0.0,0.0,39087
204,0.0,1,0.0,0.0,36423
205,0.9024800053767055,856,0.9052177430227855,0.9966599866399466,14834
206,0.8243022653979376,739,0.8244992234478914,0.9997102848865282,25111
207,0.0,1,0.0,0.0,923
208,0.0,1,0.0,0.0,36874
209,0.0,1,0.0,0.0,14308
210,0.0,1,0.0,0.0,9046
211,0.0,1,0.0,0.0,1153
212,0.9462863017219224,719,0.9551232166018159,0.9903173749327595,3855
213,0.9008899676375405,350,0.908608731130151,0.9906583629893239,4902
214,0.8971934787463709,480,0.9005454681312113,0.9958684514956205,26766
215,0.915186520171972,337,0.9178171682418013,0.9968779564806055,22961
216,0.0005767919878349327,337,0.000913975516534648,0.0015610217596972564,36106
217,0.9690721649484536,110,0.975103734439834,0.9936575052854123,2892
218,0.6554222322843559,175,0.6633822181484876,0.98202170963365,4364
219,0.7912701696317749,95,0.9243595940067666,0.8460517584605176,4138
220,0.7686034658511722,223,0.771592304543594,0.9949854842966482,4886
221,0.8126133387064276,699,0.9335648148148148,0.8624893071000855,4320
222,0.0,1,0.0,0.0,5529
223,0.0,1,0.0,0.0,8827
224,0.0,1,0.0,0.0,6074
225,0.0,1,0.0,0.0,6273
226,0.9409241567557028,640,0.9431307406683603,0.9975196362133113,5117
227,0.9505045140732873,276,0.9554772581678411,0.9945543454100911,9366
228,0.8779408044523147,317,0.881173035419576,0.9958393113342898,7877
229,0.8313453892522765,768,0.842529407941769,0.9842836534811328,15387
230,0.4961694883193039,525,0.5040353574173713,0.9695065607096655,20816
231,0.6269963936115405,845,0.6345151199165797,0.9814516129032258,5754
232,0.8858256351039261,562,0.931683619250038,0.947360296387774,6587
233,0.8475885957900346,159,0.8539597315436241,0.9912745403552509,18625
234,0.8436485609175504,715,0.9298747763864043,0.9009706494106772,8385
235,0.9445184938353882,705,0.9451483827942647,0.9992949056936365,5998
236,0.8856812933025404,854,0.9050147492625369,0.9764481222151495,3390
237,0.8076436700857103,531,0.8387567488691084,0.9560878243512974,20559
238,0.6639662383661781,442,0.6941500886350207,0.9385352862849534,50770
239,0.7682169328739952,387,0.7731200588343445,0.9918121167194555,76146
240,0.25966020147346264,36,0.624141669678352,0.3077882730351096,2767
241,0.0,1,0.0,0.0,115683
242,0.0,1,0.0,0.0,102050
243,0.6063839200129773,208,0.6064733558502087,0.999756865510157,135602
244,0.0031777695305251438,14,0.010877332274712187,0.004469237293664775,12595
245,0.0,1,0.0,0.0,95582
246,0.0,1,0.0,0.0,1227
247,0.0,1,0.0,0.0,5270
248,0.1933481578652674,506,0.19349983989753441,0.995962093119077,124920
249,0.8379969803724208,860,0.8807722824649563,0.9452202543142597,18905
250,0.4539365805214901,176,0.46080086275613075,0.9682266009852217,42654
251,0.0,1,0.0,0.0,7484
252,0.0,1,0.0,0.0,2761
253,0.0,1,0.0,0.0,707
254,0.8930311775559445,304,0.8938346434321432,0.9989944429743318,21118
255,0.8029231317660744,874,0.8031190181285891,0.9996963184451504,53286
256,0.9374553841085058,207,0.9424754333664569,0.9943502824858758,36228
257,0.0,1,0.0,0.0,1612
258,0.0,1,0.0,0.0,26735
259,0.0,1,0.0,0.0,8521
260,0.18758797184900833,56,0.6527159394479074,0.2083866382373845,2246
261,0.675923392612859,499,0.6788953009068426,0.9935652523627589,7278
262,0.3216041108132261,622,0.32704759740997386,0.9507926023778072,8803
263,0.8718290598290598,766,0.8987294930307141,0.9668075749246489,56749
264,0.894282334384858,237,0.8955536250197441,0.998415144177856,25324
265,0.5921127678644178,690,0.592281674069848,0.9995186025720377,24539
266,0.952117460143538,236,0.9563614351749945,0.9953608247422681,18172
267,0.9339374451914645,673,0.9537313432835821,0.9782608695652174,3350
268,0.0,1,0.0,0.0,5712
269,0.0,1,0.0,0.0,2113
270,0.19612879552334647,14,0.7578872740163063,0.20923859855157564,8463
271,0.3999653259361997,265,0.4358586812771585,0.8292595255212077,5293
272,0.8649298286423199,450,0.8651981695493679,0.999641544941303,12893
273,0.5089485237407796,819,0.511670444152849,0.9896558354162661,50298
274,0.4871498700548657,394,0.48757225433526014,0.9982248520710059,20760
275,0.8239833039748794,694,0.8465124513159448,0.9687113111986494,50838
276,0.0,1,0.0,0.0,4550
277,0.0,1,0.0,0.0,681
278,0.6595514209251944,617,0.6697942280315776,0.9773392503068643,15454
279,0.8274055595153244,793,0.9002326483132997,0.9109349864636874,25790
280,0.7865210009596221,213,0.83454082631682,0.9318291136472955,25535
281,0.7107061503416856,602,0.8816326530612245,0.7856743144935646,3185
282,0.8954637976155859,284,0.9069356501251656,0.9860710854947167,6791
283,0.5360040567951319,541,0.545759648896347,0.9677271686884871,7747
284,0.7918356312516897,100,0.8621044885945548,0.9066707939947377,13590
285,0.0,1,0.0,0.0,1837
286,0.0,1,0.0,0.0,52857
287,0.7065033090849423,150,0.7101935341983725,0.9926990470335075,18188
288,0.7626535626535627,289,0.7696503843292835,0.988220312002547,4033
289,0.937932384806161,290,0.9707511483382869,0.9652092148566056,14804
290,0.0,1,0.0,0.0,64267
291,0.0,1,0.0,0.0,24912
292,0.5585059077626731,351,0.8848631239935588,0.6022742841485135,9936
293,0.755297684863269,530,0.7558318599212913,0.9990651669129399,87665
294,0.022278364722094626,841,0.4349775784753363,0.02294228949858089,223
295,0.6112469437652812,509,0.9256142712891282,0.6428237494156148,2971
296,0.5619778965391999,840,0.5634200898198402,0.9954658251891793,57671
297,0.7662315355547922,568,0.8014732303269853,0.9457282170871316,16698
298,0.8968781344032096,818,0.900207638583024,0.9958930808854239,15893
299,0.0,1,0.0,0.0,16267
300,0.0,1,0.0,0.0,13920
301,0.6262626262626263,202,0.6296098343132015,0.9915824915824916,1871
302,0.8299506828528073,777,0.8638696939782823,0.9548281505728314,10130
303,0.7844105326152004,82,0.785174092100337,0.9987617868368416,13355
304,0.086785810993772,311,0.7807551766138855,0.08895364973633084,821
305,0.0,1,0.0,0.0,10146
306,0.0,1,0.0,0.0,2453
307,0.789396887159533,691,0.8849509269356598,0.8796747967479674,1834
308,0.8290388548057259,51,0.8391289948666998,0.9857031705893795,12078
309,0.820732251823188,436,0.8217106243480853,0.9985513807152557,13422
